text,label
"Government announces new education policy for schools",real
"Scientists publish research on climate change",real
"Central bank announces changes to interest rates",real
"Government launches new healthcare program",real
"Researchers discover new treatment after clinical trials",real
"NASA announces successful space mission",real
"University releases annual research report",real
"Government approves new infrastructure project",real
"Scientists conduct study on air pollution",real
"Election commission announces voting schedule",real
"Aliens landed in Hyderabad and demanded biryani",fake
"Scientists confirm that drinking petrol makes people stronger",fake
"Government announces that everyone will receive one crore rupees tomorrow",fake
"Moon disappears from the sky for three days",fake
"Doctors say eating stones can cure every disease",fake
"Internet users discover that sleeping for one minute gives eight hours of energy",fake
"Government confirms that smartphones can read people's dreams",fake
"Scientists discover that humans can breathe underwater naturally",fake
"Breaking news: Sun will stop shining tomorrow",fake
"Researchers prove that eating chocolate makes people invisible",fake
